"Time","Fraction dissolved","Fraction absorbed to mucosa","Fraction absorbed to portal vein","Fraction absorbed to venous blood","Fraction excrected to feces"
0,0,0,0,0,0
3,0.203301757574081,0.00361865200102329,0.0015900091070098,0.000506985042625484,1.91030044048732e-24
6,0.211545199155807,0.0123750614002347,0.00770298101054092,0.00432856144994863,5.20145749847227e-21
9,0.216289579868317,0.0254431404173374,0.0179700834458821,0.0121045877640097,4.65357181865249e-19
12,0.21962009370327,0.041852205991745,0.0317303767648197,0.0233983822414414,1.04299881724914e-17
15,0.22218245267868,0.0602938123047352,0.0478763950444433,0.0373546746117541,1.10610280490681e-16
18,0.224262654781342,0.0795156359672546,0.0651963928580084,0.0528802512750434,7.31571874510817e-16
21,0.226011767983437,0.098496213555336,0.0826315594199716,0.068930201958079,3.50883864268215e-15
24,0.227519690990448,0.116493351757526,0.0993748022604622,0.0846568902353986,1.33235072348231e-14
27,0.228844165802002,0.133032158017159,0.114884632903601,0.0994546557713979,4.23305223610105e-14
30,0.230024501681328,0.147864177823067,0.128856060186474,0.112948835840019,1.16977987626304e-13
33,0.231088578701019,0.160914972424507,0.141171887606629,0.124958292535783,2.88945056032761e-13
36,0.232056975364685,0.172231763601303,0.151849672255996,0.135447089977498,6.50831710573285e-13
39,0.232945218682289,0.181936115026474,0.16099279224147,0.144478032118691,1.35734934576803e-12
42,0.233765378594398,0.190191313624382,0.168751603870601,0.152172037205052,2.65182710859624e-12
45,0.2345270216465,0.19717638194561,0.175296496760363,0.158679107647407,4.89903386954871e-12
48,0.235237792134285,0.203068345785141,0.180798261045578,0.164157109992754,8.62091214387517e-12
51,0.23590399324894,0.208032384514809,0.185416601628976,0.168758028049742,1.45366019568827e-11
54,0.236530795693398,0.212216272950172,0.189294665496835,0.172620460066229,2.36130004438451e-11
57,0.237122505903244,0.215748861432076,0.192556857943095,0.175866563986003,3.71084239725317e-11
60,0.237682789564133,0.218740358948708,0.195309146666242,0.178601278664084,5.66224116205216e-11
63,0.238214775919914,0.221283793449402,0.197640603445153,0.180913333637906,8.41444414145798e-11
66,0.238721132278442,0.223456606268883,0.199625199052418,0.182876881926275,1.22096263655003e-10
69,0.239204168319702,0.225323021411896,0.201323977494088,0.184553273751271,1.73384195889525e-10
72,0.239665910601616,0.226936146616936,0.202787189985725,0.185993012506359,2.41444503279453e-10
75,0.240108102560043,0.228339642286301,0.20405601357661,0.187237529537868,3.30278748794655e-10
78,0.240532338619232,0.229569256305695,0.205164026072613,0.188320786216378,4.44487502360147e-10
81,0.240939989686012,0.230654254555702,0.206138704269625,0.18927050515826,5.89302884268506e-10
84,0.24133226275444,0.231618672609329,0.207002481405446,0.190109297609246,7.70616015444148e-10
87,0.241710260510445,0.232482209801674,0.207773743156549,0.190855680632618,9.94997639836015e-10
90,0.242074981331825,0.233261004090309,0.208467488810404,0.191524782783509,1.26971400060683e-09
93,0.242427304387093,0.23396834731102,0.209096030582353,0.192129024353508,1.60273860849713e-09
96,0.24276801943779,0.234615162014961,0.209669502209705,0.192678589939332,2.00275929174154e-09
99,0.243097871541977,0.235210478305817,0.210196250993017,0.193181833198964,2.47917952833632e-09
102,0.243417501449585,0.235761761665344,0.210683145071692,0.193645685846069,3.04211744683869e-09
105,0.243727520108223,0.236275210976601,0.211135878580431,0.194075852611059,3.70239794378335e-09
108,0.244028478860855,0.236755982041359,0.211559172967735,0.194477054942435,4.47154313576448e-09
111,0.244320884346962,0.237208351492882,0.211956967718686,0.194853236563561,5.36175859267018e-09
114,0.244605198502541,0.237635910511017,0.21233256021832,0.19520768850205,6.38591490798035e-09
117,0.244881853461266,0.238041684031487,0.212688684159891,0.195543142332011,7.55753060133202e-09
120,0.245151236653328,0.238428220152855,0.213027668480517,0.195861888846007,8.89074591725603e-09
135,0.246401026844978,0.240137174725533,0.214524492684297,0.197263726745432,1.85160953236618e-08
150,0.247514188289642,0.241582557559013,0.215789635325431,0.198443105588439,3.46121780125941e-08
165,0.248517245054245,0.242850482463837,0.216900243770452,0.1994757338441,5.94694817834807e-08
180,0.249429687857628,0.243986919522285,0.217897041572239,0.200401059341782,9.55288115278563e-08
195,0.250266283750534,0.245019271969795,0.218804057682561,0.201242201921308,1.45277468277527e-07
210,0.251038491725922,0.245965301990509,0.219636819055257,0.202014004053635,2.1115693016327e-07
225,0.251755326986313,0.246833369135857,0.220402732091813,0.202723872140248,2.95486699997127e-07
240,0.252424120903015,0.247632816433907,0.221109218027705,0.203378388236371,4.00407571987671e-07
255,0.253050714731216,0.248372420668602,0.221763899416909,0.203984674778453,5.27842985320603e-07
270,0.253640115261078,0.249059483408928,0.22237305103905,0.204548584836851,6.79484116972162e-07
285,0.254196375608444,0.249700129032135,0.22294194320042,0.205075075084833,8.56785050018516e-07
300,0.254722952842712,0.250299572944641,0.223475108745876,0.205568337185384,1.06096524632449e-06
315,0.255222797393799,0.250862419605255,0.223976508351921,0.206032083875386,1.29304009988118e-06
330,0.255698442459106,0.25139257311821,0.224449596220103,0.206469485391354,1.55385021116672e-06
345,0.256152123212814,0.251893609762192,0.224897373055575,0.206883402575062,1.84409532266727e-06
360,0.256585657596588,0.252368628978729,0.225322591623866,0.207276342371563,2.16437365452293e-06
375,0.257000803947449,0.252820372581482,0.225727612649225,0.207650515046021,2.51522055805253e-06
390,0.257398962974548,0.253251314163208,0.226114582822556,0.208007931664246,2.89714762402582e-06
405,0.257781505584717,0.253663659095764,0.226485426324844,0.208350348995001,3.31067781189631e-06
420,0.258149534463882,0.254059314727783,0.22684182363574,0.208679330965125,3.75637841898424e-06
435,0.258504122495651,0.254440039396286,0.227185266631251,0.208996305876362,4.23488791057025e-06
