"Population","N","5<sup>th</sup> pctl","25<sup>th</sup> pctl","50<sup>th</sup> pctl","75<sup>th</sup> pctl","95<sup>th</sup> pctl","Mean","SD","Geo Mean","Geo SD"
"Larson 2013 8y-18y 400mg FCT meal",500,7207.27453339973,9378.91900530458,11615.2014578242,14388.9387627487,19343.2172354185,12199.8637324817,3756.55216381695,11656.0826743601,1.35327685384109
"Filmcoated_tablet_400mg_sd",100,6449.27364795673,8248.73872665125,9637.50448119416,11717.0024182775,14901.1018835207,10129.7001331529,2672.29157238859,9784.55826486961,1.30560532515595
