"Population","N","5<sup>th</sup> pctl","25<sup>th</sup> pctl","50<sup>th</sup> pctl","75<sup>th</sup> pctl","95<sup>th</sup> pctl","Mean","SD","Geo Mean","Geo SD"
"Larson 2013 8y-18y 400mg FCT meal",497,1564.1728,2133.959,2893.518,3971.826,7809.3966,3610.031722334,2601.88213706146,3089.06646979585,1.67064587966818
"Filmcoated_tablet_400mg_sd",100,3961.8554,5531.18675,6823.9585,9325.516,16886.118,8090.4299,4000.16910635263,7343.51501710097,1.53115311524317
