"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.006148014
0,6,0.07678343
0,9,0.2384618
0,12,0.4782379
0,15,0.7717464
0,18,1.089359
0,21,1.403545
0,24,1.693033
0,27,1.943914
0,30,2.148986
0,33,2.306428
0,36,2.418238
0,39,2.488801
0,42,2.52371
0,45,2.528929
0,48,2.510227
0,51,2.472854
0,54,2.421385
0,57,2.359673
0,60,2.290884
0,63,2.217568
0,66,2.141734
0,69,2.064937
0,72,1.988363
0,75,1.912894
0,78,1.839171
0,81,1.767645
0,84,1.698617
0,87,1.632272
0,90,1.568711
0,93,1.507965
0,96,1.450018
0,99,1.394816
0,102,1.34228
0,105,1.292315
0,108,1.244814
0,111,1.199663
0,114,1.156746
0,117,1.115947
0,120,1.07715
0,135,0.9094349
0,150,0.7769825
0,165,0.6706487
0,180,0.5839059
0,195,0.5121386
0,210,0.45205
0,225,0.4012407
0,240,0.3579268
0,255,0.3207501
0,270,0.2886566
0,285,0.2608107
0,300,0.2365412
0,315,0.2153031
0,330,0.1966493
0,345,0.1802081
0,360,0.1656693
0,375,0.1527728
0,390,0.141299
0,405,0.1310615
0,420,0.1219018
0,435,0.1136844
0,450,0.106293
0,465,0.09962773
0,480,0.09360224
0,495,0.08814185
0,510,0.0831817
0,525,0.07866534
0,540,0.07454348
0,555,0.07077301
0,570,0.06731612
0,585,0.06413957
0,600,0.06121409
0,615,0.05851382
0,630,0.05601592
0,645,0.05370015
0,660,0.05154854
0,675,0.04954515
0,690,0.04767578
0,705,0.04592778
0,720,0.04428986
0,735,0.04275195
0,750,0.04130504
0,765,0.03994108
0,780,0.03865286
0,795,0.03743393
0,810,0.03627846
0,825,0.03518128
0,840,0.03413769
0,855,0.03314349
0,870,0.03219491
0,885,0.03128854
0,900,0.0304213
0,915,0.02959043
0,930,0.02879342
0,945,0.02802801
0,960,0.02729215
0,975,0.026584
0,990,0.02590185
0,1005,0.02524418
0,1020,0.02460959
0,1035,0.02399682
0,1050,0.02340469
0,1065,0.02283214
0,1080,0.0222782
0,1095,0.02174196
0,1110,0.02122259
0,1125,0.02071934
0,1140,0.02023148
0,1155,0.01975836
0,1170,0.01929937
0,1185,0.01885394
0,1200,0.01842152
0,1215,0.01800161
0,1230,0.01759375
0,1245,0.01719748
0,1260,0.01681238
0,1275,0.01643805
0,1290,0.01607412
0,1305,0.01572023
0,1320,0.01537603
0,1335,0.01504119
0,1350,0.0147154
0,1365,0.01439836
0,1380,0.01408978
0,1395,0.0137894
0,1410,0.01349693
0,1425,0.01321213
0,1440,0.01293475
0,1455,0.01266456
0,1470,0.01240133
0,1485,0.01214483
0,1500,0.01189486
0,1515,0.01165121
0,1530,0.01141368
0,1545,0.01118208
0,1560,0.01095624
0,1575,0.01073596
0,1590,0.01052108
0,1605,0.01031143
0,1620,0.01010685
0,1635,0.009907184
0,1650,0.009712284
0,1665,0.009522005
0,1680,0.009336204
0,1695,0.009154749
0,1710,0.008977506
0,1725,0.008804351
0,1740,0.008635161
0,1755,0.008469818
0,1770,0.008308209
0,1785,0.008150223
0,1800,0.007995754
0,1815,0.0078447
0,1830,0.007696964
0,1845,0.007552448
0,1860,0.007411061
0,1875,0.007272714
0,1890,0.007137321
0,1905,0.0070048
0,1920,0.006875071
0,1935,0.006748056
0,1950,0.006623682
0,1965,0.006501877
0,1980,0.006382572
