"Time","Fraction dissolved","Fraction absorbed to mucosa","Fraction absorbed to portal vein","Fraction absorbed to venous blood","Fraction excrected to feces"
0,0,0,0,0,0
3,0.150192826986313,0.00261565065011382,0.00114124004121597,0.00036238408483757,6.7671619241576e-26
6,0.158184990286827,0.00906060915440321,0.00559047953499736,0.00313196237582042,1.86121431218919e-22
9,0.162897333502769,0.0187832862138748,0.0131372417142691,0.0088271474946516,1.67540667090571e-20
12,0.166257113218307,0.0310910921543837,0.023330176329921,0.0171670409875954,3.78032551778638e-19
15,0.168872460722923,0.0450200065970421,0.0353724572116609,0.0275459760788422,4.01782385750381e-18
18,0.171015396714211,0.0596310384571552,0.0483734072317544,0.0391672260818859,2.6664491300447e-17
21,0.172831386327744,0.0741473957896233,0.0615428303697249,0.0512563868890706,1.28366652016307e-16
24,0.174407497048378,0.0879955589771271,0.0742694248689233,0.0631760256030608,4.8850152955477e-16
27,0.175800070166588,0.10080037266016,0.0861349377809955,0.074463114452797,1.55586262240605e-15
30,0.177047535777092,0.112357065081596,0.0968963882778565,0.0848241440519154,4.31076666197868e-15
33,0.178177520632744,0.122594177722931,0.106451058895148,0.0941097975320425,1.06679259610082e-14
36,0.179210394620895,0.131534159183502,0.114798504613039,0.10228008085495,2.40658967092574e-14
39,0.180161580443382,0.139259621500969,0.122005361323678,0.109370843546792,5.02586118339074e-14
42,0.18104313313961,0.145886644721031,0.128176092134693,0.115464238387633,9.83148295847364e-14
45,0.181864589452744,0.151543766260147,0.133431149080518,0.120665632299186,1.81831288849528e-13
48,0.182633683085442,0.156360790133476,0.137892946521133,0.125087413980367,3.20342249905334e-13
51,0.183356702327728,0.160460248589516,0.141678097665139,0.128839603988842,5.4093204525027e-13
54,0.184038892388344,0.163952797651291,0.144892212076015,0.132024051470511,8.7992606907436e-13
57,0.18468464910984,0.166935786604881,0.147628057316382,0.134731352926962,1.38458775694739e-12
60,0.185297682881355,0.16949288547039,0.149965229421417,0.137040066013762,2.11509152206468e-12
63,0.185881167650223,0.171695202589035,0.151970966649399,0.139017087807321,3.14600342304905e-12
66,0.186437845230103,0.173602089285851,0.153701550234609,0.140718582989106,4.56869958531669e-12
69,0.186970084905624,0.175262987613678,0.155203790965482,0.142191410028249,6.49301098998301e-12
72,0.187479943037033,0.176718980073929,0.156516323980405,0.143474357700934,9.04855877725819e-12
75,0.187969237565994,0.178004056215286,0.157671038129027,0.144599453660617,1.2386443433432e-11
78,0.188439562916756,0.179146215319633,0.158694079386029,0.145593035664335,1.6680594405738e-11
81,0.188892364501953,0.180168405175209,0.159606990949549,0.146476750748185,2.21288161406097e-11
84,0.189328894019127,0.181089535355568,0.160427453881327,0.147268397586292,2.89539659609206e-11
87,0.189750298857689,0.181925311684608,0.161170002317149,0.147982603556693,3.74049055618109e-11
90,0.190157577395439,0.182688742876053,0.161846649673329,0.148631409624547,4.77570726020726e-11
93,0.190551653504372,0.183390513062477,0.162467241483856,0.149224756685238,6.03128449960799e-11
96,0.190933376550674,0.18403947353363,0.163039959756208,0.149770787542114,7.54018028570336e-11
99,0.191303491592407,0.184642940759659,0.163571602698097,0.150276280271038,9.33809141123731e-11
102,0.191662698984146,0.185207039117813,0.164067765904123,0.150746886623874,1.14634489400967e-10
105,0.1920116096735,0.185736909508705,0.164533159167502,0.151187331227833,1.39573963497952e-10
108,0.192350804805756,0.186236813664436,0.164971649922486,0.151601518602154,1.68637520614467e-10
111,0.192680835723877,0.186710387468338,0.165386584294381,0.151992719642599,2.02289587858395e-10
114,0.1930021494627,0.18716062605381,0.165780752133704,0.15236369029341,2.41020259306168e-10
117,0.193315222859383,0.187590137124062,0.166156479198859,0.152716764789563,2.85344470274396e-10
120,0.193620473146439,0.188001081347466,0.166515754304666,0.153053910754456,3.35801386697199e-10
135,0.195041730999947,0.189834401011467,0.168116723744764,0.154551446989966,7.00508762108143e-10
150,0.196314796805382,0.191397249698639,0.169480556950566,0.155822383365481,1.31145783122122e-09
165,0.197467789053917,0.192770287394524,0.170679374683647,0.156937066920674,2.25659579911053e-09
180,0.19852152466774,0.19399619102478,0.171751418981542,0.15793282210457,3.63016927629189e-09
195,0.199491828680038,0.19510056078434,0.172718409990747,0.158830319028778,5.52897327921187e-09
210,0.200390994548798,0.19610407948494,0.173598266116915,0.159646360370657,8.04907429596824e-09
225,0.201228782534599,0.197022050619125,0.174404278619015,0.160393506285168,1.12832170273691e-08
240,0.202013090252876,0.197866424918175,0.175146780433712,0.161081451847217,1.53190118368229e-08
255,0.202750369906425,0.19864684343338,0.175834076478721,0.16171797748686,2.02378771518852e-08
270,0.203445971012115,0.19937127828598,0.176473064561433,0.162309555063935,2.6114742368577e-08
285,0.204104363918304,0.200046464800835,0.17706961470534,0.162861620177813,3.30182921004507e-08
300,0.204729333519936,0.200678199529648,0.177628696298565,0.163378831762305,4.10117735327731e-08
315,0.20532414317131,0.201271533966064,0.178154667356743,0.163865277642434,5.01542736230931e-08
330,0.205891594290733,0.201830878853798,0.17865135822914,0.164324487249295,6.05021597266386e-08
345,0.206434071063995,0.202360093593597,0.179122146828192,0.16475960644927,7.21106516721193e-08
360,0.206953719258308,0.20286263525486,0.179569995714494,0.165173389067458,8.50355164061511e-08
375,0.207452371716499,0.20334155857563,0.179997580304889,0.165568302844784,9.93346844779808e-08
390,0.207931682467461,0.203799575567245,0.180407223179072,0.165946551688985,1.15069788364508e-07
405,0.208393082022667,0.204239070415497,0.180801019108963,0.166310060840619,1.32307491185202e-07
420,0.208837881684303,0.204662218689919,0.181180835058715,0.166660544685609,1.51120630675905e-07
435,0.209267228841782,0.20507088303566,0.181548292171998,0.166999566091221,1.71589178421527e-07
450,0.209682166576385,0.205466762185097,0.181904863252543,0.167328428329818,1.93800858028226e-07
