"Population","N","5<U+1D57><U+02B0> pctl","25<U+1D57><U+02B0> pctl","50<U+1D57><U+02B0> pctl","75<U+1D57><U+02B0> pctl","95<U+1D57><U+02B0> pctl","Mean","SD","Geo Mean","Geo SD"
"Larson 2013 8y-18y 400mg FCT meal",500,1171.26398056685,1784.94285022472,2321.5485341845,2949.2394498067,4651.39765381225,2549.83145503083,1206.88653545067,2326.86976368052,1.52304125410489
"Filmcoated_tablet_400mg_sd",100,2437.78779508937,3236.5390331862,3954.5384518825,4657.55504164875,5304.384078606,3940.92065206206,908.88990660497,3833.69844801604,1.27093678306423
