"Population","N","5<U+1D57><U+02B0> pctl","25<U+1D57><U+02B0> pctl","50<U+1D57><U+02B0> pctl","75<U+1D57><U+02B0> pctl","95<U+1D57><U+02B0> pctl","Mean","SD","Geo Mean","Geo SD"
"Larson 2013 8y-18y 400mg FCT meal",500,8017.56003363575,10533.5421804579,12921.04838946,15892.6139068604,21707.9463683517,13652.1851154429,4460.2276737615,0,NA
"Filmcoated_tablet_400mg_sd",100,6771.98558129975,8875.70087361083,10112.3225595833,12229.13665199,15523.1498972431,10626.7147021566,2757.61131182178,10275.4479903918,1.30050617200013
