"Population","N","5<U+1D57><U+02B0> pctl","25<U+1D57><U+02B0> pctl","50<U+1D57><U+02B0> pctl","75<U+1D57><U+02B0> pctl","95<U+1D57><U+02B0> pctl","Mean","SD","Geo Mean","Geo SD"
"Larson 2013 8y-18y 400mg FCT meal",497,5.4821064,7.474607,9.202984,11.19314,14.708864,9.49490913682093,2.83755110025563,9.07949247078238,1.35316714049512
"Filmcoated_tablet_400mg_sd",100,5.8830984,7.467935,9.0309825,10.289815,13.488052,9.20076471,2.50193955743716,8.88761256157522,1.30050615988096
