"Population","N","5<U+1D57><U+02B0> pctl","25<U+1D57><U+02B0> pctl","50<U+1D57><U+02B0> pctl","75<U+1D57><U+02B0> pctl","95<U+1D57><U+02B0> pctl","Mean","SD","Geo Mean","Geo SD"
"Larson 2013 8y-18y 400mg FCT meal",500,0.9975,2,2.5,3.05,4,2.5419,0.878289345460081,2.37208578330864,1.48502752244037
"Filmcoated_tablet_400mg_sd",100,0.5,0.6,0.7,0.8125,1,0.729,0.151620872207255,0.713540193421443,1.23246478429997
