"Population","N","5<U+1D57><U+02B0> pctl","25<U+1D57><U+02B0> pctl","50<U+1D57><U+02B0> pctl","75<U+1D57><U+02B0> pctl","95<U+1D57><U+02B0> pctl","Mean","SD","Geo Mean","Geo SD"
"Larson 2013 8y-18y 400mg FCT meal",500,1.12245879166667,1.47469620833333,1.80894583333333,2.22496666666667,3.03911291666667,1.91130589866667,0.624431861082165,0,NA
"Filmcoated_tablet_400mg_sd",100,1.23588741666667,1.6198155,1.84549833333333,2.2318175,2.83297491666667,1.93937544166667,0.503263982161017,1.87526928580922,1.30050612348492
