"Population","N","5<sup>th</sup> pctl","25<sup>th</sup> pctl","50<sup>th</sup> pctl","75<sup>th</sup> pctl","95<sup>th</sup> pctl","Mean","SD","Geo Mean","Geo SD"
"Larson 2013 8y-18y 400mg FCT meal",497,1581.086,2341.617,2968.061,3917.84,6249.0214,3396.62837183099,1880.06216866511,3071.48262007821,1.52827929589458
"Filmcoated_tablet_400mg_sd",100,1880.2662,2263.552,2695.8325,3418.902,4890.55915,2993.69954,1138.9809965986,2836.18855007,1.36900640781082
